epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9495.04,1.29061,1.13881,1.28321,0.52991,0.40239,0.40465,0.23833,1.6511,1.67277,1.47945,0.00492625,0.00492625,0.00492625
43,9689.13,1.28002,1.12823,1.27455,0.54959,0.41084,0.43077,0.25401,1.62634,1.55147,1.45858,0.0048025,0.0048025,0.0048025
44,9886.33,1.27636,1.09278,1.26911,0.57541,0.40549,0.43046,0.25653,1.59549,1.54291,1.44287,0.00467875,0.00467875,0.00467875
45,10082,1.25346,1.07961,1.2604,0.61896,0.38147,0.43201,0.25175,1.58259,1.55461,1.4426,0.004555,0.004555,0.004555
46,10287.9,1.24678,1.0624,1.25959,0.58971,0.39606,0.43052,0.25416,1.57247,1.56513,1.43085,0.00443125,0.00443125,0.00443125
47,10461.9,1.24102,1.04634,1.25189,0.61633,0.39987,0.45415,0.26374,1.56239,1.5328,1.42022,0.0043075,0.0043075,0.0043075
48,10664.8,1.22687,1.02901,1.24244,0.60557,0.42497,0.46609,0.2654,1.5358,1.45314,1.40578,0.00418375,0.00418375,0.00418375
49,10869.9,1.21136,1.01354,1.23113,0.48998,0.42405,0.46675,0.27762,1.49927,1.52919,1.37819,0.00406,0.00406,0.00406
50,11090.7,1.19513,0.99326,1.22277,0.51209,0.41162,0.47722,0.29053,1.47538,1.84628,1.35687,0.00393625,0.00393625,0.00393625
51,11293,1.18122,0.98125,1.21445,0.4997,0.42854,0.47672,0.28423,1.45429,1.70716,1.35226,0.0038125,0.0038125,0.0038125
52,11481.8,1.1822,0.97668,1.21312,0.51356,0.43449,0.47926,0.28712,1.47519,2.48372,1.34773,0.00368875,0.00368875,0.00368875
53,11671.5,1.17647,0.96603,1.21549,0.5286,0.43523,0.4994,0.31192,1.42224,1.71758,1.33645,0.003565,0.003565,0.003565
54,11862.1,1.14483,0.94348,1.19634,0.51706,0.44372,0.48471,0.29738,1.47046,2.04222,1.36082,0.00344125,0.00344125,0.00344125
55,12052.9,1.15102,0.94101,1.19774,0.4938,0.46605,0.5019,0.31071,1.41415,2.16428,1.32263,0.0033175,0.0033175,0.0033175
56,12241.7,1.12985,0.92189,1.18726,0.50336,0.45302,0.49273,0.29995,1.42666,2.30179,1.32907,0.00319375,0.00319375,0.00319375
57,12434.7,1.12229,0.91544,1.18201,0.51289,0.45927,0.50726,0.32214,1.36955,1.9072,1.29874,0.00307,0.00307,0.00307
58,12623.7,1.11485,0.90712,1.17681,0.50585,0.45795,0.50199,0.31639,1.38477,2.16522,1.30741,0.00294625,0.00294625,0.00294625
