                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91361,                0.68916,                 1.1037,                0.83472,                0.81859,                0.87666,                0.60389,                0.90883,                0.58658,                 1.0793,             0.00057731,             0.00057731,             0.00057731
                     36,                0.90776,                0.68087,                 1.0993,                0.83938,                0.82298,                0.88318,                0.60571,                0.90496,                0.58007,                 1.0765,             0.00055674,             0.00055674,             0.00055674
                     37,                0.90524,                0.67812,                 1.0974,                0.83139,                0.82997,                0.88549,                0.60845,                0.90187,                0.57557,                 1.0747,             0.00053608,             0.00053608,             0.00053608
                     38,                0.89506,                0.66615,                 1.0925,                0.84457,                0.82798,                0.88828,                0.60988,                0.89904,                 0.5717,                 1.0724,             0.00051537,             0.00051537,             0.00051537
                     39,                 0.8851,                0.65815,                 1.0886,                0.84681,                0.83238,                0.88955,                0.61295,                0.89687,                0.56813,                 1.0715,             0.00049463,             0.00049463,             0.00049463
                     40,                0.87649,                0.65287,                 1.0843,                0.86593,                 0.8173,                0.89014,                0.61432,                0.89471,                0.56498,                 1.0703,             0.00047392,             0.00047392,             0.00047392
                     41,                0.86964,                 0.6454,                 1.0816,                0.84893,                0.83047,                0.89109,                 0.6167,                0.89111,                0.56158,                 1.0686,             0.00045326,             0.00045326,             0.00045326
                     42,                0.86447,                0.63758,                 1.0778,                0.85343,                0.82928,                0.89275,                0.61914,                0.88834,                0.55842,                 1.0675,             0.00043269,             0.00043269,             0.00043269
                     43,                0.86724,                 0.6377,                 1.0784,                0.85375,                0.83178,                0.89452,                0.62241,                0.88622,                0.55472,                 1.0663,             0.00041225,             0.00041225,             0.00041225
                     44,                0.85501,                 0.6321,                 1.0736,                0.84763,                0.83639,                0.89593,                 0.6238,                 0.8831,                0.55212,                 1.0644,             0.00039197,             0.00039197,             0.00039197
                     45,                0.84561,                0.62246,                 1.0674,                0.85392,                0.83707,                0.89704,                0.62497,                0.88128,                0.54989,                  1.063,             0.00037188,             0.00037188,             0.00037188
                     46,                0.83582,                0.61582,                 1.0656,                 0.8563,                0.83719,                0.89751,                0.62674,                0.87886,                0.54759,                 1.0614,             0.00035204,             0.00035204,             0.00035204
                     47,                0.83662,                0.60985,                 1.0643,                0.85259,                0.83939,                 0.8977,                0.62832,                0.87686,                0.54533,                 1.0602,             0.00033246,             0.00033246,             0.00033246
                     48,                0.82909,                0.60172,                 1.0604,                 0.8536,                 0.8415,                0.89854,                0.63078,                0.87479,                0.54397,                  1.059,             0.00031318,             0.00031318,             0.00031318
                     49,                0.82445,                0.60038,                 1.0553,                0.85651,                0.83984,                0.89858,                0.63274,                0.87268,                0.54228,                 1.0578,             0.00029424,             0.00029424,             0.00029424
                     50,                0.81871,                0.59454,                  1.055,                0.86053,                0.83778,                0.89933,                0.63319,                0.87048,                0.54059,                 1.0566,             0.00027567,             0.00027567,             0.00027567
                     51,                0.81192,                0.58915,                 1.0517,                0.87406,                0.83249,                    0.9,                0.63502,                0.86927,                0.53861,                 1.0557,              0.0002575,              0.0002575,              0.0002575
                     52,                0.80888,                0.58564,                 1.0493,                0.86529,                 0.8363,                0.89975,                0.63506,                0.86789,                0.53696,                 1.0549,             0.00023977,             0.00023977,             0.00023977
                     53,                0.80411,                0.57656,                 1.0478,                0.87243,                0.83227,                0.89982,                0.63528,                0.86623,                0.53561,                 1.0539,              0.0002225,              0.0002225,              0.0002225
                     54,                0.80007,                0.57275,                 1.0453,                0.86363,                0.83837,                0.89966,                0.63499,                0.86466,                0.53451,                 1.0527,             0.00020572,             0.00020572,             0.00020572
                     55,                0.79634,                 0.5741,                 1.0435,                0.87484,                0.83534,                0.90017,                0.63616,                0.86321,                0.53301,                 1.0519,             0.00018948,             0.00018948,             0.00018948
                     56,                0.78427,                0.56455,                 1.0396,                0.87338,                0.83574,                0.90065,                0.63753,                0.86207,                0.53166,                  1.051,             0.00017378,             0.00017378,             0.00017378
                     57,                0.78171,                0.56029,                 1.0386,                0.86551,                0.83957,                0.90049,                0.63791,                0.86096,                0.53049,                 1.0505,             0.00015867,             0.00015867,             0.00015867
                     58,                0.77797,                0.55646,                 1.0346,                0.86421,                0.84145,                0.90053,                0.63802,                0.85999,                0.52941,                 1.0499,             0.00014416,             0.00014416,             0.00014416
                     59,                0.77512,                0.55368,                  1.035,                0.86528,                0.84157,                0.89978,                0.63871,                0.85899,                0.52845,                 1.0493,             0.00013029,             0.00013029,             0.00013029
                     60,                0.77136,                0.55173,                 1.0333,                0.86474,                0.84263,                0.90014,                0.64007,                0.85786,                0.52749,                 1.0486,             0.00011707,             0.00011707,             0.00011707
                     61,                0.77124,                0.54942,                 1.0301,                0.86774,                0.84206,                0.90087,                0.64077,                0.85677,                0.52636,                 1.0479,             0.00010454,             0.00010454,             0.00010454
                     62,                0.76736,                 0.5482,                 1.0326,                 0.8699,                0.84253,                0.90111,                0.64097,                 0.8559,                0.52536,                 1.0474,             9.2704e-05,             9.2704e-05,             9.2704e-05
                     63,                0.76694,                0.54206,                 1.0289,                0.87031,                0.84294,                0.90122,                0.64121,                0.85484,                0.52466,                 1.0468,             8.1595e-05,             8.1595e-05,             8.1595e-05
                     64,                0.75645,                0.53841,                 1.0259,                0.87069,                0.84397,                0.90164,                0.64119,                0.85379,                0.52362,                 1.0462,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     65,                0.76038,                0.53964,                 1.0282,                0.87069,                 0.8433,                0.90199,                0.64198,                0.85302,                0.52287,                 1.0457,             6.1623e-05,             6.1623e-05,             6.1623e-05
                     66,                0.72073,                0.45504,                 1.0115,                0.87125,                0.84383,                0.90218,                0.64263,                0.85242,                0.52212,                 1.0455,             5.2795e-05,             5.2795e-05,             5.2795e-05
                     67,                0.70616,                0.44141,                  1.006,                 0.8738,                0.84343,                0.90267,                0.64352,                0.85187,                0.52115,                 1.0452,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     68,                0.69932,                0.43468,                 1.0021,                0.87389,                0.84383,                0.90282,                0.64401,                0.85113,                0.52012,                 1.0447,             3.7534e-05,             3.7534e-05,             3.7534e-05
                     69,                 0.6955,                0.43332,                 0.9989,                0.87568,                0.84315,                0.90312,                0.64454,                0.85039,                0.51925,                 1.0442,             3.1127e-05,             3.1127e-05,             3.1127e-05
                     70,                0.69247,                0.43059,                0.99905,                0.87665,                0.84262,                0.90334,                0.64454,                0.84967,                 0.5186,                 1.0437,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     71,                0.68957,                0.42859,                0.99955,                0.88091,                0.83889,                0.90352,                0.64409,                0.84908,                0.51787,                 1.0434,             2.0817e-05,             2.0817e-05,             2.0817e-05
                     72,                0.69119,                0.42765,                0.99984,                0.88106,                0.84097,                0.90403,                0.64488,                0.84848,                0.51699,                 1.0431,             1.6932e-05,             1.6932e-05,             1.6932e-05
                     73,                0.68704,                0.42588,                0.99632,                0.88238,                   0.84,                0.90411,                0.64506,                0.84773,                0.51626,                 1.0427,             1.3903e-05,             1.3903e-05,             1.3903e-05
                     74,                0.68498,                 0.4244,                0.99511,                0.88551,                 0.8394,                0.90438,                0.64473,                  0.847,                 0.5159,                 1.0423,             1.1736e-05,             1.1736e-05,             1.1736e-05
                     75,                0.68365,                0.42404,                0.99432,                0.88478,                0.83909,                0.90454,                0.64511,                0.84644,                0.51504,                  1.042,             1.0434e-05,             1.0434e-05,             1.0434e-05
