epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18862.6,0.68609,0.54233,1.05808,0.68013,0.6927,0.72987,0.59422,0.92672,1.41414,1.33738,0.000935741,0.000935741,0.000935741
43,19242.4,0.67964,0.54185,1.0521,0.68211,0.69627,0.7329,0.59939,0.92048,1.37699,1.3349,0.000932642,0.000932642,0.000932642
44,19644.5,0.6768,0.54094,1.05237,0.68569,0.69371,0.72825,0.59342,0.91935,1.37928,1.33654,0.000929476,0.000929476,0.000929476
45,20031.5,0.66949,0.5339,1.04739,0.68368,0.69152,0.72268,0.58915,0.91095,1.36235,1.33224,0.000926242,0.000926242,0.000926242
46,20418.4,0.6633,0.52974,1.04392,0.6857,0.68659,0.7191,0.58609,0.91249,1.34351,1.32998,0.000922942,0.000922942,0.000922942
47,20802.2,0.66218,0.528,1.04096,0.67226,0.69762,0.71982,0.58737,0.9131,1.35459,1.32858,0.000919576,0.000919576,0.000919576
48,21187.3,0.65774,0.52678,1.04032,0.67029,0.70194,0.72455,0.59264,0.91147,1.35383,1.32847,0.000916145,0.000916145,0.000916145
49,21570.4,0.64972,0.52081,1.03404,0.66793,0.70525,0.72686,0.59513,0.90955,1.35624,1.32816,0.000912649,0.000912649,0.000912649
50,21952.2,0.6474,0.51524,1.03274,0.66451,0.70735,0.72556,0.59523,0.91029,1.3469,1.33083,0.000909088,0.000909088,0.000909088
51,22333.5,0.64561,0.51455,1.03066,0.66861,0.70073,0.72557,0.59639,0.90985,1.34021,1.33132,0.000905463,0.000905463,0.000905463
52,22715.7,0.63517,0.51444,1.0294,0.67499,0.698,0.72767,0.59846,0.91012,1.34584,1.33376,0.000901776,0.000901776,0.000901776
53,23097.7,0.63394,0.50798,1.02503,0.67762,0.69381,0.73044,0.60144,0.91009,1.35035,1.33405,0.000898025,0.000898025,0.000898025
54,23480.5,0.62732,0.50674,1.02446,0.66484,0.70817,0.7315,0.60276,0.90784,1.34621,1.33349,0.000894213,0.000894213,0.000894213
55,23878.2,0.62946,0.50205,1.02471,0.67299,0.69903,0.72842,0.60089,0.90513,1.35607,1.33311,0.000890339,0.000890339,0.000890339
56,24269.1,0.62211,0.49512,1.02188,0.67541,0.69811,0.72725,0.60011,0.90223,1.3527,1.3323,0.000886404,0.000886404,0.000886404
57,24654.3,0.61863,0.4993,1.01845,0.67028,0.70606,0.72842,0.60108,0.90035,1.35335,1.33316,0.000882409,0.000882409,0.000882409
58,25056.2,0.61339,0.49018,1.01377,0.6683,0.70955,0.72965,0.60245,0.89992,1.35502,1.33376,0.000878354,0.000878354,0.000878354
59,25453.9,0.61218,0.49308,1.01369,0.67931,0.69473,0.72895,0.60215,0.89935,1.34829,1.33478,0.000874241,0.000874241,0.000874241
60,25843.3,0.60452,0.4848,1.00727,0.67141,0.70479,0.73091,0.60424,0.89772,1.34672,1.33524,0.000870069,0.000870069,0.000870069
61,26228.6,0.6008,0.48471,1.00533,0.67634,0.69722,0.73187,0.60583,0.89686,1.34805,1.33608,0.000865839,0.000865839,0.000865839
62,26613.9,0.60267,0.48753,1.00779,0.67869,0.69386,0.73295,0.60654,0.89629,1.35446,1.3374,0.000861553,0.000861553,0.000861553
63,27000.6,0.59706,0.48797,1.00598,0.68046,0.69439,0.73343,0.60801,0.89468,1.35525,1.33779,0.00085721,0.00085721,0.00085721
64,27401.2,0.58817,0.47864,0.99738,0.68005,0.69516,0.73429,0.6095,0.89227,1.3511,1.3373,0.000852812,0.000852812,0.000852812
65,27798.6,0.59313,0.4803,1.00187,0.67754,0.6977,0.73575,0.61052,0.89063,1.35038,1.33665,0.000848358,0.000848358,0.000848358
