epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.068,1.76,2.6271,1.55501,0.91471,0.02365,0.04043,0.01764,2.40652,4.08795,2.07042,0.0700493,0.00332785,0.00332785
2,279.459,1.75286,2.23121,1.53915,0.9086,0.03479,0.03671,0.01252,2.44457,3.84953,2.10909,0.0399834,0.00659524,0.00659524
3,407.136,2.02598,2.54774,1.84202,0.29821,0.032,0.01567,0.00413,2.80908,4.1842,2.66509,0.00985145,0.00979663,0.00979663
4,534.562,2.46658,3.13543,2.27899,0.59271,0.01763,0.01099,0.00248,3.0544,4.82007,2.89147,0.009703,0.009703,0.009703
5,660.461,2.57421,3.29776,2.46767,0.28724,0.06191,0.00584,0.00167,3.2361,4.15862,3.84993,0.009604,0.009604,0.009604
