                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.71202,                 0.4044,                 1.0385,                0.90479,                0.88447,                0.92325,                0.67125,                0.85874,                0.48179,                 1.0151,             0.00036486,             0.00036486,             0.00036486
                     37,                0.70366,                 0.4005,                  1.031,                0.90905,                0.88378,                0.92368,                0.66988,                0.84221,                 0.4767,                 1.0146,             0.00035788,             0.00035788,             0.00035788
                     38,                0.70073,                0.39976,                 1.0325,                0.89702,                0.89228,                0.92261,                0.67559,                0.85367,                0.47853,                 1.0209,             0.00035079,             0.00035079,             0.00035079
                     39,                0.69733,                0.39638,                 1.0306,                0.90224,                0.88257,                0.92429,                0.67695,                0.83193,                0.47293,                 1.0082,             0.00034361,             0.00034361,             0.00034361
                     40,                0.68914,                0.39223,                  1.026,                0.90126,                0.88183,                0.92218,                0.67732,                0.82713,                0.46741,                 1.0067,             0.00033634,             0.00033634,             0.00033634
                     41,                0.69215,                0.38885,                 1.0273,                0.90126,                0.88319,                0.92288,                0.67949,                0.83202,                0.47969,                 1.0107,             0.00032898,             0.00032898,             0.00032898
                     42,                0.68439,                 0.3864,                 1.0205,                0.89455,                0.89311,                0.92279,                0.67854,                0.84092,                0.46742,                 1.0185,             0.00032155,             0.00032155,             0.00032155
                     43,                0.67907,                0.38325,                 1.0189,                0.90973,                0.88608,                0.92417,                0.68116,                0.83597,                 0.4681,                 1.0096,             0.00031405,             0.00031405,             0.00031405
                     44,                0.67385,                0.38183,                 1.0172,                0.90756,                 0.8903,                 0.9269,                0.68761,                0.82491,                0.46404,                 1.0044,             0.00030649,             0.00030649,             0.00030649
                     45,                0.67041,                0.37559,                 1.0108,                0.90955,                0.88291,                0.92552,                0.68532,                0.82976,                0.47565,                 1.0065,             0.00029888,             0.00029888,             0.00029888
                     46,                0.66218,                0.37091,                 1.0089,                0.89636,                 0.8954,                0.92578,                0.68495,                0.83347,                0.46506,                 1.0195,             0.00029122,             0.00029122,             0.00029122
                     47,                0.65875,                0.37198,                 1.0096,                 0.9073,                0.89503,                  0.925,                0.69008,                0.82015,                0.46414,                 1.0075,             0.00028352,             0.00028352,             0.00028352
