                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3012,                 1.1643,                 1.4393,                0.81376,                0.74167,                0.80667,                0.48251,                 1.2516,                0.78592,                 1.3081,             0.00093072,             0.00093072,             0.00093072
                     36,                 1.2938,                 1.1381,                 1.4322,                0.81374,                0.75354,                0.81701,                 0.4874,                  1.264,                0.77186,                 1.3092,             0.00092669,             0.00092669,             0.00092669
                     37,                 1.2925,                 1.1428,                 1.4308,                0.81702,                0.74453,                0.81412,                0.48762,                 1.2477,                 0.7691,                 1.2935,             0.00092255,             0.00092255,             0.00092255
                     38,                  1.279,                 1.1206,                 1.4172,                0.82247,                0.75058,                0.81819,                0.49494,                 1.2367,                0.76604,                 1.2893,             0.00091831,             0.00091831,             0.00091831
                     39,                 1.2773,                 1.1235,                  1.422,                0.79869,                0.76767,                0.82037,                0.49696,                 1.2347,                0.76494,                 1.2913,             0.00091397,             0.00091397,             0.00091397
                     40,                 1.2663,                 1.1058,                 1.4119,                0.82215,                0.76186,                0.82522,                 0.5021,                 1.2305,                0.75042,                 1.2902,             0.00090953,             0.00090953,             0.00090953
                     41,                 1.2709,                 1.1159,                 1.4157,                0.82732,                0.75232,                0.82323,                0.50027,                 1.2316,                0.75092,                 1.2859,             0.00090499,             0.00090499,             0.00090499
                     42,                 1.2562,                 1.0969,                 1.4036,                0.81926,                0.75626,                0.82476,                0.50501,                 1.2143,                0.74414,                 1.2816,             0.00090034,             0.00090034,             0.00090034
                     43,                 1.2489,                 1.0798,                 1.4003,                  0.805,                0.77096,                0.82628,                0.50158,                 1.2162,                0.73859,                 1.2786,              0.0008956,              0.0008956,              0.0008956
                     44,                 1.2561,                 1.0937,                 1.4032,                 0.8223,                0.76906,                0.83062,                0.50504,                  1.205,                0.73195,                 1.2731,             0.00089076,             0.00089076,             0.00089076
                     45,                 1.2431,                 1.0787,                 1.3922,                0.82013,                0.76941,                0.83324,                 0.5103,                 1.2001,                0.73232,                 1.2684,             0.00088583,             0.00088583,             0.00088583
                     46,                 1.2439,                  1.077,                 1.3976,                0.82339,                0.77585,                0.84028,                0.51546,                 1.1953,                0.72159,                  1.265,              0.0008808,              0.0008808,              0.0008808
                     47,                 1.2399,                 1.0602,                   1.39,                0.82867,                0.78308,                0.84365,                 0.5195,                 1.1924,                0.71544,                 1.2597,             0.00087568,             0.00087568,             0.00087568
                     48,                 1.2389,                 1.0756,                 1.3909,                0.84003,                0.77155,                0.84166,                0.52255,                 1.1872,                0.71302,                 1.2592,             0.00087047,             0.00087047,             0.00087047
                     49,                 1.2327,                 1.0534,                 1.3836,                 0.8411,                0.77429,                 0.8467,                0.52626,                  1.178,                0.70605,                 1.2524,             0.00086516,             0.00086516,             0.00086516
                     50,                  1.224,                 1.0579,                 1.3811,                0.83155,                0.78689,                0.84753,                0.52832,                 1.1732,                 0.7033,                 1.2521,             0.00085977,             0.00085977,             0.00085977
                     51,                 1.2291,                 1.0502,                 1.3813,                0.82025,                 0.7947,                0.84755,                 0.5312,                 1.1641,                0.69755,                 1.2484,             0.00085429,             0.00085429,             0.00085429
                     52,                 1.2087,                  1.027,                 1.3693,                0.83195,                0.78757,                0.84861,                0.53357,                 1.1617,                0.69278,                 1.2438,             0.00084872,             0.00084872,             0.00084872
                     53,                 1.2062,                 1.0139,                 1.3659,                0.84727,                0.78344,                 0.8523,                0.53482,                 1.1626,                0.68823,                  1.244,             0.00084306,             0.00084306,             0.00084306
                     54,                 1.2097,                 1.0276,                  1.369,                0.84412,                0.78803,                0.85366,                0.53772,                 1.1535,                0.68391,                 1.2388,             0.00083732,             0.00083732,             0.00083732
                     55,                 1.1976,                 1.0241,                 1.3613,                0.84865,                 0.7859,                0.85501,                0.54006,                 1.1473,                0.67931,                 1.2342,              0.0008315,              0.0008315,              0.0008315
                     56,                 1.1971,                 1.0107,                 1.3591,                0.84007,                0.79962,                0.86041,                0.54428,                 1.1427,                0.66924,                 1.2314,              0.0008256,              0.0008256,              0.0008256
                     57,                 1.1917,                 1.0007,                 1.3551,                0.84697,                0.79908,                0.86426,                0.54343,                 1.1434,                0.66521,                 1.2324,             0.00081962,             0.00081962,             0.00081962
                     58,                 1.1879,                 1.0004,                 1.3553,                0.84237,                0.79996,                0.85989,                0.54601,                 1.1401,                0.66457,                 1.2296,             0.00081356,             0.00081356,             0.00081356
                     59,                  1.186,                 1.0018,                 1.3527,                0.85611,                0.79878,                0.86403,                0.55043,                 1.1372,                0.66103,                 1.2255,             0.00080742,             0.00080742,             0.00080742
                     60,                 1.1806,                0.99834,                 1.3516,                0.85147,                0.79967,                0.86391,                0.55147,                 1.1303,                0.65953,                 1.2226,             0.00080121,             0.00080121,             0.00080121
                     61,                 1.1798,                0.99373,                 1.3437,                0.86398,                 0.7958,                0.86694,                0.55271,                 1.1271,                0.65903,                 1.2201,             0.00079492,             0.00079492,             0.00079492
                     62,                 1.1692,                0.97602,                 1.3415,                0.85939,                0.80056,                0.86764,                0.55445,                 1.1229,                0.65509,                 1.2181,             0.00078857,             0.00078857,             0.00078857
                     63,                 1.1736,                0.97678,                 1.3427,                0.85946,                0.79429,                0.86611,                0.55655,                 1.1199,                0.65344,                 1.2162,             0.00078214,             0.00078214,             0.00078214
                     64,                 1.1645,                0.97043,                 1.3372,                0.85708,                0.79826,                0.86772,                 0.5587,                 1.1172,                0.65052,                  1.214,             0.00077564,             0.00077564,             0.00077564
                     65,                 1.1589,                0.95444,                 1.3284,                0.85647,                0.79836,                0.86977,                 0.5617,                 1.1113,                0.64407,                 1.2108,             0.00076907,             0.00076907,             0.00076907
                     66,                 1.1569,                0.95885,                 1.3309,                0.85769,                0.80948,                0.87294,                0.56191,                 1.1087,                0.63963,                 1.2093,             0.00076244,             0.00076244,             0.00076244
                     67,                 1.1544,                0.96383,                 1.3301,                0.86468,                0.80863,                0.87377,                0.56473,                 1.1041,                0.63622,                 1.2062,             0.00075575,             0.00075575,             0.00075575
                     68,                 1.1508,                0.95571,                 1.3242,                  0.863,                0.80899,                0.87269,                 0.5654,                  1.101,                0.63356,                 1.2043,             0.00074899,             0.00074899,             0.00074899
                     69,                   1.15,                0.95264,                 1.3295,                0.85475,                0.81387,                0.87173,                 0.5676,                 1.0975,                0.63337,                 1.2032,             0.00074217,             0.00074217,             0.00074217
