epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,649.433,1.3741,1.60273,1.27759,0.65156,0.68667,0.66302,0.40512,1.41733,1.46873,1.34511,0.0700035,0.00333294,0.00333294
2,1316.41,1.02862,0.95716,1.08124,0.70255,0.694,0.69692,0.44218,1.36608,1.29337,1.29726,0.0397835,0.00644629,0.00644629
3,1965.36,0.99645,0.87963,1.06636,0.54069,0.57202,0.48461,0.27905,1.52173,1.56546,1.38952,0.00934355,0.00933963,0.00933963
4,2666.58,0.95039,0.81449,1.04183,0.5631,0.62087,0.49547,0.30084,1.46137,1.54668,1.35207,0.00901,0.00901,0.00901
