epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4502.93,1.29101,1.11006,1.49534,0.76389,0.77875,0.78027,0.40453,1.61225,1.14087,1.61472,5.43837e-05,5.43837e-05,5.43837e-05
40,4614.92,1.29985,1.11122,1.48949,0.76573,0.77077,0.77851,0.40535,1.60559,1.13885,1.60632,5.24434e-05,5.24434e-05,5.24434e-05
41,4730.49,1.29382,1.10389,1.48564,0.76237,0.7806,0.78266,0.40841,1.60256,1.13163,1.60927,5.05e-05,5.05e-05,5.05e-05
42,4843.26,1.27982,1.10084,1.48166,0.76541,0.77505,0.78424,0.41125,1.59689,1.13019,1.60338,4.85566e-05,4.85566e-05,4.85566e-05
43,4957.77,1.28708,1.09866,1.48448,0.76432,0.78066,0.7808,0.40754,1.59994,1.12603,1.60596,4.66163e-05,4.66163e-05,4.66163e-05
44,5074.24,1.27816,1.09275,1.47951,0.76291,0.77704,0.78107,0.40738,1.60003,1.12864,1.60701,4.46819e-05,4.46819e-05,4.46819e-05
45,5186.19,1.27964,1.08769,1.47139,0.76874,0.77629,0.78533,0.41231,1.59407,1.11948,1.60023,4.27565e-05,4.27565e-05,4.27565e-05
46,5298.35,1.27297,1.08654,1.48161,0.75933,0.78828,0.77564,0.40831,1.59745,1.11903,1.60412,4.0843e-05,4.0843e-05,4.0843e-05
47,5412.66,1.27316,1.09015,1.47677,0.76688,0.77629,0.78131,0.4103,1.59956,1.11493,1.60337,3.89445e-05,3.89445e-05,3.89445e-05
48,5528.97,1.26908,1.08349,1.47483,0.76884,0.77237,0.78335,0.41048,1.59026,1.1186,1.59852,3.70637e-05,3.70637e-05,3.70637e-05
49,5640.98,1.26505,1.05954,1.46584,0.77301,0.78955,0.79046,0.4132,1.5929,1.10951,1.59929,3.52037e-05,3.52037e-05,3.52037e-05
50,5758.71,1.26741,1.07299,1.46816,0.76757,0.79257,0.78806,0.4132,1.59335,1.10841,1.60114,3.33672e-05,3.33672e-05,3.33672e-05
51,5875.08,1.26481,1.06871,1.47203,0.7653,0.77989,0.78412,0.41296,1.58743,1.11093,1.59913,3.15572e-05,3.15572e-05,3.15572e-05
52,5987.96,1.25668,1.0616,1.46598,0.74613,0.78003,0.77823,0.41056,1.58645,1.11275,1.59594,2.97763e-05,2.97763e-05,2.97763e-05
53,6098.79,1.25257,1.05819,1.457,0.76186,0.78781,0.78092,0.41322,1.58485,1.114,1.59547,2.80275e-05,2.80275e-05,2.80275e-05
54,6210.21,1.25826,1.06003,1.46218,0.75882,0.78289,0.77593,0.40973,1.58643,1.1139,1.59391,2.63132e-05,2.63132e-05,2.63132e-05
55,6318.65,1.26304,1.06662,1.46627,0.75227,0.78992,0.78525,0.41505,1.57863,1.10491,1.58907,2.46363e-05,2.46363e-05,2.46363e-05
56,6431.43,1.25348,1.04992,1.45809,0.74987,0.78668,0.77741,0.41168,1.58417,1.10896,1.58917,2.29993e-05,2.29993e-05,2.29993e-05
57,6539.8,1.25211,1.0427,1.45607,0.74952,0.78994,0.77659,0.41261,1.58221,1.1069,1.59333,2.14046e-05,2.14046e-05,2.14046e-05
58,6649.81,1.24988,1.04636,1.4557,0.7646,0.79114,0.78518,0.41536,1.58354,1.1034,1.59331,1.98548e-05,1.98548e-05,1.98548e-05
59,6733.73,1.25219,1.04988,1.4589,0.7582,0.78563,0.77846,0.41419,1.57771,1.10543,1.58766,1.83523e-05,1.83523e-05,1.83523e-05
60,6812.08,1.27341,1.04677,1.46798,0.76437,0.79372,0.7876,0.41618,1.58071,1.1006,1.5885,1.68994e-05,1.68994e-05,1.68994e-05
61,6892.75,1.25437,1.05228,1.45795,0.76783,0.78568,0.78485,0.41513,1.58334,1.09899,1.58979,1.54982e-05,1.54982e-05,1.54982e-05
62,6974.39,1.24961,1.04627,1.45236,0.7596,0.7927,0.78557,0.41522,1.58217,1.09816,1.59014,1.4151e-05,1.4151e-05,1.4151e-05
63,7052.11,1.26175,1.05055,1.45798,0.75445,0.79019,0.78394,0.41463,1.58189,1.10008,1.59011,1.28599e-05,1.28599e-05,1.28599e-05
