======================================================================
SHOPLIFTING DETECTION LOG
Date: 2026-03-14 11:01:05
Source: C:\Users\vrajr\Downloads\WhatsApp Video 2026-03-10 at 00.45.09.mp4
Confidence: 0.15
Strategy: Best-of-Both-Models
======================================================================

Frame     36 | normal          | Conf: 0.8388 | Model: Fast Model                     | Box: [443, 84, 541, 331]
Frame     36 | normal          | Conf: 0.8305 | Model: Stable Model (150ep)           | Box: [431, 74, 548, 332]
Frame     37 | normal          | Conf: 0.8280 | Model: Fast Model                     | Box: [443, 87, 538, 333]
Frame     37 | normal          | Conf: 0.8327 | Model: Stable Model (150ep)           | Box: [432, 76, 550, 331]
Frame     38 | normal          | Conf: 0.8085 | Model: Fast Model                     | Box: [444, 85, 542, 337]
Frame     38 | normal          | Conf: 0.8377 | Model: Stable Model (150ep)           | Box: [435, 80, 551, 330]
Frame     39 | normal          | Conf: 0.7561 | Model: Fast Model                     | Box: [445, 89, 542, 338]
Frame     39 | normal          | Conf: 0.8217 | Model: Stable Model (150ep)           | Box: [439, 83, 552, 330]
Frame     40 | normal          | Conf: 0.7111 | Model: Fast Model                     | Box: [448, 86, 545, 333]
Frame     40 | normal          | Conf: 0.8021 | Model: Stable Model (150ep)           | Box: [439, 86, 552, 332]
Frame     41 | normal          | Conf: 0.6657 | Model: Fast Model                     | Box: [450, 91, 546, 333]
Frame     41 | normal          | Conf: 0.8279 | Model: Stable Model (150ep)           | Box: [439, 86, 552, 330]
Frame     42 | normal          | Conf: 0.6849 | Model: Fast Model                     | Box: [453, 92, 551, 336]
Frame     42 | normal          | Conf: 0.8126 | Model: Stable Model (150ep)           | Box: [445, 82, 554, 332]
Frame     43 | normal          | Conf: 0.7471 | Model: Fast Model (best)              | Box: [454, 97, 550, 339]
Frame     43 | normal          | Conf: 0.7827 | Model: Stable Model (150ep)           | Box: [443, 81, 555, 332]
Frame     44 | shoplifting     | Conf: 0.8130 | Model: Stable Model (150ep) (best)    | Box: [449, 82, 553, 333]
Frame     45 | shoplifting     | Conf: 0.8111 | Model: Stable Model (150ep) (best)    | Box: [449, 83, 553, 334]
Frame     45 | normal          | Conf: 0.3564 | Model: Stable Model (150ep)           | Box: [449, 84, 553, 330]
Frame     46 | shoplifting     | Conf: 0.8085 | Model: Stable Model (150ep) (best)    | Box: [451, 84, 555, 337]
Frame     47 | normal          | Conf: 0.7395 | Model: Fast Model (best)              | Box: [463, 95, 558, 342]
Frame     48 | shoplifting     | Conf: 0.7892 | Model: Stable Model (150ep) (best)    | Box: [458, 86, 557, 349]
Frame     49 | shoplifting     | Conf: 0.7863 | Model: Stable Model (150ep) (best)    | Box: [462, 87, 556, 352]
Frame     50 | shoplifting     | Conf: 0.7785 | Model: Stable Model (150ep) (best)    | Box: [463, 88, 561, 353]
Frame     51 | shoplifting     | Conf: 0.7982 | Model: Stable Model (150ep) (best)    | Box: [463, 88, 562, 356]
Frame     52 | shoplifting     | Conf: 0.4115 | Model: Fast Model                     | Box: [469, 87, 568, 368]
Frame     52 | shoplifting     | Conf: 0.7673 | Model: Stable Model (150ep) (best)    | Box: [463, 86, 563, 358]
Frame     52 | product-picked  | Conf: 0.2260 | Model: Fast Model                     | Box: [468, 96, 568, 370]
Frame     53 | shoplifting     | Conf: 0.3933 | Model: Fast Model                     | Box: [469, 88, 568, 376]
Frame     53 | shoplifting     | Conf: 0.7447 | Model: Stable Model (150ep) (best)    | Box: [465, 86, 563, 360]
Frame     53 | product-picked  | Conf: 0.3011 | Model: Fast Model                     | Box: [468, 98, 567, 374]
Frame     54 | shoplifting     | Conf: 0.7589 | Model: Stable Model (150ep) (best)    | Box: [463, 88, 560, 363]
Frame     54 | shoplifting     | Conf: 0.2161 | Model: Fast Model                     | Box: [471, 90, 570, 385]
Frame     55 | shoplifting     | Conf: 0.7692 | Model: Stable Model (150ep) (best)    | Box: [463, 89, 560, 364]
Frame     56 | shoplifting     | Conf: 0.7125 | Model: Stable Model (150ep) (best)    | Box: [463, 86, 560, 364]
Frame     57 | shoplifting     | Conf: 0.6513 | Model: Stable Model (150ep) (best)    | Box: [460, 87, 561, 364]
Frame     58 | shoplifting     | Conf: 0.5478 | Model: Stable Model (150ep) (best)    | Box: [459, 92, 560, 365]
Frame     58 | normal          | Conf: 0.5648 | Model: Stable Model (150ep) (best)    | Box: [464, 92, 562, 366]
Frame     59 | normal          | Conf: 0.6239 | Model: Fast Model (best)              | Box: [470, 82, 568, 374]
Frame     59 | normal          | Conf: 0.7463 | Model: Stable Model (150ep)           | Box: [464, 92, 560, 368]
Frame     60 | normal          | Conf: 0.5928 | Model: Fast Model (best)              | Box: [471, 99, 568, 378]
Frame     60 | normal          | Conf: 0.7407 | Model: Stable Model (150ep)           | Box: [463, 97, 566, 370]
Frame     61 | normal          | Conf: 0.7098 | Model: Fast Model (best)              | Box: [471, 98, 568, 379]
