======================================================================
ENSEMBLE SHOPLIFTING DETECTION LOG
======================================================================

Models: 2
Merge method: Weighted Box Fusion (WBF)
Model weights: [0.45, 0.55]
Confidence: 0.2

Total frames processed: 201
Total detections: 319

----------------------------------------------------------------------
DETECTIONS:
----------------------------------------------------------------------
Frame     45 | shoplifting     | Conf: 0.1960 | Box: [450, 85, 553, 331]
Frame     46 | normal          | Conf: 0.7638 | Box: [456, 90, 556, 338]
Frame     47 | normal          | Conf: 0.6805 | Box: [459, 90, 557, 340]
Frame     48 | normal          | Conf: 0.7784 | Box: [461, 90, 558, 351]
Frame     49 | normal          | Conf: 0.7633 | Box: [464, 90, 557, 354]
Frame     50 | normal          | Conf: 0.7345 | Box: [464, 88, 563, 361]
Frame     51 | normal          | Conf: 0.6655 | Box: [465, 88, 565, 361]
Frame     52 | normal          | Conf: 0.5725 | Box: [465, 87, 565, 362]
Frame     52 | shoplifting     | Conf: 0.1852 | Box: [469, 87, 569, 368]
Frame     52 | product-picked  | Conf: 0.1017 | Box: [468, 96, 568, 371]
Frame     53 | normal          | Conf: 0.5533 | Box: [466, 88, 564, 364]
Frame     53 | shoplifting     | Conf: 0.1770 | Box: [470, 89, 568, 377]
Frame     53 | product-picked  | Conf: 0.1355 | Box: [469, 99, 568, 375]
Frame     54 | normal          | Conf: 0.6206 | Box: [466, 91, 563, 368]
Frame     54 | shoplifting     | Conf: 0.0972 | Box: [471, 91, 570, 385]
Frame     55 | normal          | Conf: 0.6961 | Box: [466, 90, 563, 370]
Frame     56 | normal          | Conf: 0.6411 | Box: [466, 87, 562, 369]
Frame     57 | normal          | Conf: 0.6316 | Box: [464, 89, 564, 370]
Frame     58 | normal          | Conf: 0.4994 | Box: [463, 92, 564, 370]
Frame     58 | shoplifting     | Conf: 0.3106 | Box: [464, 93, 562, 366]
Frame     59 | normal          | Conf: 0.4674 | Box: [467, 86, 565, 372]
Frame     59 | shoplifting     | Conf: 0.4105 | Box: [465, 93, 561, 369]
Frame     60 | normal          | Conf: 0.4683 | Box: [467, 97, 566, 373]
Frame     60 | shoplifting     | Conf: 0.4074 | Box: [463, 97, 566, 370]
Frame     61 | normal          | Conf: 0.4922 | Box: [468, 98, 567, 374]
Frame     61 | shoplifting     | Conf: 0.4718 | Box: [463, 98, 570, 370]
Frame     62 | shoplifting     | Conf: 0.4495 | Box: [463, 96, 572, 371]
Frame     62 | normal          | Conf: 0.3387 | Box: [470, 93, 570, 379]
Frame     63 | shoplifting     | Conf: 0.4508 | Box: [462, 96, 574, 370]
Frame     63 | normal          | Conf: 0.3445 | Box: [469, 91, 570, 379]
